description,funding_total_usd,competitors,target
I want to build a app for dogs,39814,64,0
Basically Google for seniors,187841,53,0
Website to find students,39508,39,0
Like Uber but for gamers,8878160,71,1
Basically Netflix for dogs,8814243,53,1
I want to build a Bot for freelancers,2082951,54,1
Best smart app in online,9977860,72,1
A exclusive app app,373973,40,0
Best local restaurant in New York,406671,20,0
Best exclusive bakery in London,298121,15,1
I want to build a Platform for rich people,3137969,41,1
Best exclusive restaurant in Remote,142623,48,0
A platform connecting designers with clothing brand,324368,51,0
A luxury app app,92219,68,0
Selling cheap consulting online,79045,32,0
Like Spotify but for designers,6672547,59,1
Basically Google for doctors,222818,65,0
Best cheap app in online,8864495,55,1
Basically Amazon for freelancers,431180,44,0
Website to find designers,225098,33,1
Selling sustainable cafe online,182102,45,0
Website to find doctors,396513,81,0
app that helps doctors to get fit,223193,40,1
app that helps designers to find jobs,380231,24,0
Selling local bakery online,497503,18,1
Like Airbnb but for gamers,2791201,73,1
Automated app tool,431721,64,0
Like Spotify but for gamers,492220,43,0
app that helps gamers to find jobs,142751,34,0
Best sustainable app in online,3573175,95,1
Basically Facebook for freelancers,28595,43,1
I want to build a app for freelancers,284358,36,0
Basically Amazon for students,248555,38,0
Like Facebook but for designers,9604513,48,1
Selling smart bakery online,434966,55,0
Basically Amazon for gamers,3910347,61,1
Basically Spotify for designers,166884,10,1
I want to build a app for rich people,240728,40,1
Website to find rich people,1435518,69,1
Automated Chatbot tool,9598778,82,1
app that helps designers to save money,358173,54,0
A luxury app app,330649,61,0
A local AI app,516772,40,0
I want to build a Blockchain for designers,910052,82,0
A sustainable app app,283610,25,0
Like Amazon but for freelancers,15890,49,0
Basically Tinder for rich people,347826,67,0
A platform connecting rich people with bakery,163067,17,1
A platform connecting students with salon,356915,45,0
Like Tinder but for doctors,450626,58,0
app that helps designers to learn coding,460397,19,1
A smart app app,311620,56,1
Automated app tool,241807,64,0
Website to find dogs,5240892,44,1
Website to find dogs,170053,13,1
Selling exclusive consulting online,180469,18,1
Best cheap agency in Bangalore,453212,45,1
A platform connecting students with app,5297949,90,0
Automated Bot tool,6749195,48,1
A platform connecting doctors with gym,217591,34,0
Automated Algorithm tool,8117365,41,1
A simple app app,22999,51,0
Like Uber but for designers,9656180,59,1
Best luxury gym in Mumbai,417749,34,0
I want to build a SaaS for seniors,845237,82,0
A platform connecting freelancers with bakery,230662,47,0
Selling simple clothing brand online,405112,52,0
app that helps dogs to meet people,133044,33,0
Basically Uber for kids,144139,39,1
Selling crazy app online,7597258,74,1
Website to find freelancers,2948031,51,1
I want to build a app for seniors,131197,17,1
A platform connecting seniors with bakery,312602,20,0
Best luxury app in online,7270712,49,1
Basically Tinder for gamers,6777147,81,1
Basically Amazon for rich people,6450264,55,1
Like Amazon but for designers,45671,26,1
Best luxury gym in Global,72837,15,1
Basically Uber for seniors,112439,33,0
Website to find students,152919,10,1
Website to find doctors,217615,24,0
Website to find seniors,7764976,45,1
A platform connecting rich people with bakery,98298,58,0
A sustainable app app,234093,40,0
Best fast app in online,7836181,85,1
Like Amazon but for freelancers,7340888,79,1
I want to build a app for designers,139921,62,0
AI that helps rich people to get fit,2745960,75,1
Automated app tool,168523,48,0
A platform connecting gamers with restaurant,474807,52,0
Selling exclusive app online,9118681,49,1
I want to build a Blockchain for students,3224890,95,1
Website to find seniors,7589414,41,1
Selling crazy salon online,214493,15,1
A exclusive app app,45970,23,0
Best smart app in online,1837187,78,1
Automated app tool,285693,50,0
A platform connecting rich people with app,1716378,48,1
Website to find kids,208523,45,0
Chatbot that helps students to learn coding,3286123,59,1
Like Amazon but for designers,139239,84,0
Selling sustainable bakery online,88939,38,0
Website to find gamers,156553,64,1
A platform connecting dogs with consulting,499867,28,0
A exclusive Algorithm app,8103411,43,1
Selling exclusive consulting online,53397,60,0
A cheap SaaS app,9681907,75,1
Selling simple consulting online,255790,45,0
Selling local app online,8869919,49,1
Automated app tool,412531,36,0
A cheap app app,246082,49,0
Automated app tool,265820,38,1
Automated app tool,131609,47,0
A platform connecting gamers with agency,392211,42,1
Automated app tool,42660,29,0
Like Amazon but for rich people,145978,47,0
Best exclusive app in online,9844553,84,0
I want to build a app for rich people,397315,52,0
I want to build a Crypto for students,4476012,95,1
Basically Spotify for students,1528005,81,1
Website to find seniors,437975,68,0
A exclusive app app,399311,25,0
Website to find freelancers,93198,63,1
Selling cheap bakery online,316351,36,0
I want to build a Bot for kids,342280,50,0
A platform connecting gamers with gym,243636,24,0
A platform connecting doctors with app,7233388,64,1
Basically Uber for doctors,2786283,75,1
Automated app tool,60713,32,0
Automated app tool,168194,59,0
A fast app app,135396,13,0
Automated Blockchain tool,9239576,72,1
I want to build a AI for gamers,1125325,82,0
A fast app app,130590,30,0
app that helps rich people to meet people,245285,62,0
Website to find seniors,7469609,79,1
app that helps gamers to save money,460419,59,0
I want to build a Crypto for students,854095,95,0
Website to find dogs,193929,33,0
Basically Google for kids,8591590,75,1
Like Uber but for doctors,3378992,95,0
Website to find dogs,59885,53,0
A platform connecting rich people with app,2027907,90,1
I want to build a Platform for doctors,4683528,87,0
A platform connecting doctors with store,422551,48,0
app that helps rich people to learn coding,280588,41,0
Like Airbnb but for rich people,1833120,57,1
A exclusive app app,349098,66,0
app that helps designers to get fit,75338,68,0
Basically Facebook for seniors,1626424,62,1
Like Netflix but for students,6168683,77,1
app that helps rich people to get fit,281423,30,0
Best cheap cafe in Delhi,59101,10,1
Automated SaaS tool,1396849,82,1
A platform connecting students with gym,351234,21,0
Automated app tool,83602,44,0
app that helps seniors to travel cheaper,291194,48,0
Selling cheap restaurant online,183561,65,1
A local app app,110695,41,0
Basically Facebook for students,411969,49,0
A platform connecting kids with app,9509762,81,0
I want to build a app for rich people,337748,36,0
Best local app in online,7872967,67,1
Basically Spotify for dogs,393572,63,0
A platform connecting freelancers with salon,478314,44,0
Website to find rich people,89789,57,0
Best exclusive app in online,5604832,54,1
Best simple consulting in Bangalore,254821,22,0
Basically Spotify for dogs,411715,53,0
Basically Google for seniors,6559389,66,1
Best luxury app in online,4773613,66,1
Best sustainable gym in Delhi,426504,51,0
Website to find dogs,440316,60,0
Automated app tool,334046,51,1
Basically Netflix for seniors,9330518,80,1
A platform connecting students with restaurant,384582,62,0
A platform connecting rich people with salon,436648,33,0
A platform connecting dogs with app,853030,43,0
A platform connecting gamers with app,1879795,78,1
Basically Netflix for rich people,39600,67,0
A platform connecting students with app,7411149,80,1
A platform connecting gamers with store,115727,18,1
Best local clothing brand in Global,362406,50,0
A platform connecting doctors with cafe,60775,58,0
Automated app tool,141968,16,0
Selling local app online,4771532,58,1
I want to build a SaaS for students,6879103,55,1
I want to build a app for gamers,339830,68,0
Bot that helps dogs to find jobs,5122504,72,1
Basically Airbnb for freelancers,361073,28,0
A platform connecting dogs with agency,109396,40,1
Best luxury store in Mumbai,355441,79,1
Website to find gamers,7293058,90,0
Website to find seniors,4880221,57,1
Like Uber but for rich people,40452,23,0
Website to find rich people,4399801,47,1
Automated SaaS tool,5130640,84,1
Like Amazon but for seniors,5998698,80,1
Automated Platform tool,5162326,53,1
Selling cheap app online,3651351,49,1
I want to build a Platform for rich people,605801,54,1
Website to find rich people,6816000,78,1
Website to find kids,3749986,45,1
Like Uber but for doctors,9116647,65,1
Basically Amazon for doctors,2952351,94,1
Selling crazy app online,6406566,41,1
Selling sustainable app online,3368590,95,1
A smart app app,4216,28,0
Selling sustainable clothing brand online,116934,48,0
Automated Platform tool,5472482,49,1
app that helps gamers to travel cheaper,8060,62,0
A platform connecting doctors with app,2953379,72,1
Selling sustainable app online,6481817,80,1
Automated Platform tool,8644497,49,1
Website to find freelancers,6323855,45,1
A exclusive app app,405014,17,1
Like Uber but for dogs,51340,70,0
A crazy app app,487696,50,0
Basically Amazon for kids,5181565,75,1
app that helps designers to learn coding,356145,44,0
Best cheap consulting in Bangalore,397520,27,1
Website to find doctors,4022713,76,1
A platform connecting dogs with app,7936596,41,1
Website to find dogs,78385,65,1
Automated app tool,454966,56,1
A platform connecting gamers with app,5425767,72,1
app that helps gamers to get fit,81775,58,1
Selling luxury app online,9704252,48,1
Basically Netflix for seniors,9811275,57,1
A simple app app,132752,33,0
Best simple app in online,2996498,82,1
A sustainable app app,162809,78,1
Best sustainable app in online,1107124,68,1
I want to build a app for designers,64951,11,1
Automated app tool,162530,44,0
A exclusive AI app,2176251,95,0
Best sustainable app in online,5189132,84,1
Like Airbnb but for designers,9195345,84,0
Website to find doctors,432009,68,0
Website to find dogs,243612,60,0
Automated app tool,69359,22,0
Basically Tinder for kids,365961,38,0
Website to find seniors,8962104,69,1
Website to find doctors,5165218,78,1
Automated app tool,363772,28,0
Basically Amazon for rich people,82268,40,0
Automated app tool,183032,64,0
Automated Drone tool,8259539,75,1
I want to build a app for students,39415,68,0
Selling fast app online,1173255,51,1
Automated app tool,378398,67,0
Selling luxury clothing brand online,461164,29,0
Selling luxury app online,9423091,76,1
A platform connecting dogs with store,412410,28,0
A platform connecting rich people with bakery,186737,50,0
Basically Amazon for gamers,107982,41,0
Like Netflix but for freelancers,5159779,46,1
Automated app tool,436041,25,1
Selling exclusive salon online,368977,51,0
Like Spotify but for doctors,365848,50,0
I want to build a app for seniors,13866,33,0
Like Tinder but for doctors,6511917,62,1
I want to build a app for freelancers,472879,53,1
A smart app app,118671,44,0
Selling crazy restaurant online,39799,44,0
Like Facebook but for rich people,834383,71,0
Automated Neural Net tool,2610951,83,1
A simple Platform app,2509352,57,1
Selling sustainable app online,4519647,95,0
Website to find freelancers,433503,64,0
Basically Google for dogs,406275,23,0
Selling cheap store online,249344,32,0
Automated app tool,11765,36,0
app that helps freelancers to get fit,24240,22,0
Best local app in online,6645801,41,1
A smart Algorithm app,1872929,75,1
Selling sustainable app online,3031417,77,1
Selling cheap clothing brand online,134961,45,0
Basically Uber for students,73365,77,0
I want to build a app for dogs,452445,35,0
Basically Amazon for kids,415631,69,0
A platform connecting seniors with restaurant,183909,64,0
A platform connecting doctors with app,2717182,41,1
Selling luxury app online,963040,88,0
Website to find designers,5318400,58,1
I want to build a app for designers,54754,15,1
Selling luxury salon online,343336,22,0
app that helps freelancers to get fit,120645,40,0
app that helps students to meet people,93743,62,0
Best cheap app in online,8565257,54,1
app that helps doctors to find jobs,498435,24,0
Automated app tool,190375,63,0
Basically Facebook for rich people,327256,57,0
A platform connecting dogs with gym,3809,64,0
I want to build a app for rich people,331298,21,1
A crazy app app,377222,14,1
Automated Algorithm tool,9273413,44,1
A simple app app,344658,14,1
Algorithm that helps kids to meet people,3178101,55,1
